video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=MDfNylCCEh0&pp=ygUGcnVzc2lh,/@TimesNowWorld,Times Now World,"""It’s Unfair"": Russia Slams UN for Ignoring U.S.-Israeli Strikes on Tehran | World News",130K,1 day,UNITED NATIONS — Russian Permanent Representative Vassily Nebenzia issued a scathing critique of the UN Security Council ...,2026-03-14 03:29:19.468058
/shorts/OTaVasNMNPg,/@Bloomberg-News,Bloomberg News,Germany’s Merz Criticizes US Move to Lift Russia Oil Sanctions,3.2K,6 hours,"The leaders of Germany, Canada and Norway criticized the US decision to temporarily loosen sanctions against Russia in an ...",2026-03-14 03:29:19.472114
/watch?v=qlptdXrMCok&pp=ygUGcnVzc2lh0gcJCcUKAYcqIYzv,/@INSIDERUSSIA,INSIDE RUSSIA,Coup Fears In Moscow? Why Putin Cut Internet,49K,Streamed 6 hours,"Moscow is not just another Russian city. It is the political center of Putin's system — and this week, that center was partially cut off ...",2026-03-14 03:29:19.477566
/watch?v=yIKKbhGXmfw&pp=ygUGcnVzc2lh,/@MattandJulia,Matt and Julia,LIFE IN RUSSIA IN 2026 (things have changed),186K,6 days,"Welcome to Siberia in Russia. In this video we are sharing real life in Russia right now. This is what life in Russia is like in 2026, ...",2026-03-14 03:29:19.485051
/shorts/NZBlIBskxQc,/@bulwarkmedia,The Bulwark,"Sen. Slotkin: ""If Russia is helping kill U.S. forces…We have to take decisive action on that.""",32K,1 day,"Sen. Slotkin: “There's press reports that the Russians are helping target US ships and aircraft…If Russia is helping kill U.S. forces, ...",2026-03-14 03:29:19.486352
/watch?v=olTWvMoRUek&pp=ygUGcnVzc2lh,/@nypost,New York Post,How Russia is Becoming the Biggest Winner in the Iran War,4.2K,6 hours,"The war with Iran has seen an unlikely victor already emerging: Russia. As oil prices skyrocket as a consequence from the conflict, ...",2026-03-14 03:29:21.418110
/shorts/GWXSccrAzSE,/@HappyEarthed,Happy Earth,Russia's population problem...🇷🇺🇷🇺,9.9M,2 years,russia #RussiaPopulation #Russian #RussianArmy #Siberia #Europe #USSR #RussianEmpire #RussianWar #RussiavsChina ...,2026-03-14 03:29:23.225895
/watch?v=O0WROmncNQM&pp=ygUGcnVzc2lh,/@Kanal13AZ,Kanal13,British missiles hit Russia with UK specialists’ help: Details of Storm Shadow attack on Russia,16K,21 hours,Kanal13​ #likekanal13​ #subscribekanal13 #warinukraine https://www.youtube.com/user/kanal13az?sub_confirmation=1 ...,2026-03-14 03:29:23.226966
/watch?v=cnvfX8_K7X4&pp=ygUGcnVzc2lh,/@TimesNowWorld,Times Now World,"BRYANSK ATTACK: Russia Accuses UK Storm Shadow Attack, Points Finger At NATO! | US-Iran War",44K,1 day,Russia has accused Ukraine and the United Kingdom of direct involvement in a missile strike on the city of Bryansk that killed at ...,2026-03-14 03:29:23.228005
/shorts/h5kEHZckSa0,/@DeFrancoNews,DeFranco News Clips,Trump Eases Russian Oil Sanctions to Try and Save Midterm Chances,472K,3 days,Watch the full Daily DeFranco Show: https://www.youtube.com/@PhilipDeFranco?sub_confirmation=1 Get More News Clips: ...,2026-03-14 03:29:24.271497
/watch?v=OEKFdVbEses&pp=ygUGcnVzc2lh,/@PaulJWarburg,Paul Warburg,Russia is Now Actively Preparing for Financial Catastrophe,339K,10 days,"Text ""PAUL"" to 35052 or go to https://www.paullovesgold.com to start your IRA Structural Review with Augusta Precious Metals.",2026-03-14 03:29:24.274663
/watch?v=6bkwBBXL_e8&pp=ygUGcnVzc2lh0gcJCcUKAYcqIYzv,/@FoxBusiness,Fox Business,"NO MORE ALLIES LEFT: This is Russia's LAST STAND in the Middle East, KT McFarland says",27K,9 hours,"Former Trump deputy national security adviser KT McFarland discusses Russia's strategic partnership with Iran, securing the ...",2026-03-14 03:29:24.276218
/watch?v=M5RAHkSVOjY&pp=ygUGcnVzc2lh,/@TheMilitaryShow,The Military Show,U.S. Just Did Something to Iran That TERRIFIES Putin… He Knows He’s Next,43K,7 hours,"Operation Epic Fury has shattered the illusion of invulnerability surrounding Iran's regime, sending shockwaves far beyond ...",2026-03-14 03:29:24.277223
/watch?v=nbzwNqU_k9Q&pp=ygUGcnVzc2lh,/@Kanal13AZ,Kanal13,Russia’s massive spring offensives is coming: Ukraine prepares to respond with deadly counterattacks,23K,1 day,Kanal13​ #likekanal13​ #subscribekanal13 #warinukraine https://www.youtube.com/user/kanal13az?sub_confirmation=1 ...,2026-03-14 03:29:24.278227
/watch?v=FKkdVFFVtME&pp=ygUGcnVzc2lh,/@Poudii,Poudii,Inside Russia's Hidden Black Community,4M,4 months,"I flew all the way to Moscow, Russia to learn about their black community the world doesn't get to hear about. This video is ...",2026-03-14 03:29:24.279259
/watch?v=M5RAHkSVOjY&pp=ygUFcHV0aW7SBwkJxQoBhyohjO8%3D,/@TheMilitaryShow,The Military Show,U.S. Just Did Something to Iran That TERRIFIES Putin… He Knows He’s Next,43K,7 hours,"Operation Epic Fury has shattered the illusion of invulnerability surrounding Iran's regime, sending shockwaves far beyond ...",2026-03-14 03:29:34.820975
/watch?v=wh1Kxa50y9A&pp=ygUFcHV0aW4%3D,/@FoxNews,Fox News,JUST IN: Trump reveals details on call with Putin,288K,4 days,"President Donald Trump responds to a question about his call with Russian President Vladimir Putin, where they discussed the ...",2026-03-14 03:29:34.822597
/watch?v=E48FjkO9OS8&pp=ygUFcHV0aW4%3D,/@theindependent,The Independent,Trump removes Putin oil sanctions ahead of Zelensky’s talks with Macron,47K,17 hours,Donald Trump has issued a 30-day waiver for countries to buy sanctioned Russian oil and petroleum products currently stranded ...,2026-03-14 03:29:34.823742
/watch?v=kSLau9LXgMM&pp=ygUFcHV0aW4%3D,/@NewsNation,NewsNation,Trump: Putin may be helping Iran a 'little bit' | NewsNation Live,3.8K,10 hours,"As U.S. military officials say to expect the largest day of strikes yet in the Iran war, President Donald Trump is suggesting Russia ...",2026-03-14 03:29:35.367497
