video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Pg8vF7GsadU&pp=ygUHdWtyYWluZQ%3D%3D,/@TheMilitaryShow,The Military Show,The Final ALL-OUT Offensive Is Underway… Ukraine’s Total DE-RUSIFICATION Just Began,300K,11 hours,Ukraine's massive counteroffensive is reshaping the battlefield as Kyiv pushes to fully liberate Dnipropetrovsk Oblast and ...,2026-03-14 03:19:41.667179
/watch?v=tNR5crz-o6A&pp=ygUHdWtyYWluZQ%3D%3D,/@Professor-Gerdes,Professor Gerdes Explains 🇺🇦 ,Something Big Is Quietly Shifting on Ukraine’s Battlefield,142K,11 hours,"Ukraine is rapidly transforming how modern wars are fought. Instead of relying on expensive armored vehicles and artillery alone, ...",2026-03-14 03:19:41.668955
/shorts/5YFRDjp9eiY,/@CBSNews,CBS News,U.S. wants to buy these drone interceptors from Ukraine for Iran war #shorts,6.2K,1 hour,news #iranwar #ukraine CBS News 24/7 is the premier anchored streaming news service from CBS News and Stations that is ...,2026-03-14 03:19:41.670001
/watch?v=LPehmQp7Gls&pp=ygUHdWtyYWluZQ%3D%3D,/@thesun,The Sun,Ukrainian Storm Shadow strike rocks Russia leaving Putin's cities exposed as new mystery weapon used,243K,8 hours,Jerome Starkey brings you the latest news from the War in Ukraine as British Storm Shadow missiles pummeled a Russian ...,2026-03-14 03:19:41.671561
/watch?v=bUM0_iHrZRw&pp=ygUHdWtyYWluZQ%3D%3D,/@DenysDavydov,Denys Davydov,Update from Ukraine | Huge! Russian Defence is Cracking | Ukraine Attacks Hard,254K,12 hours,Support Pilot Blog on Patreon! https://www.patreon.com/PilotBlog ❤️ Buy me a coffee: https://www.buymeacoffee.com/davydoff ...,2026-03-14 03:19:43.224263
/watch?v=Ia-L2BZPX30&pp=ygUHdWtyYWluZQ%3D%3D,/@RFU,RFU News — Strategic Geopolitics,Hungary imposes a complete blockade on Ukraine and blocks EU support,252K,1 day,Spring Sale: starting from just $4.99! Get 50% OFF full access to the map + exclusive strategic updates: ...,2026-03-14 03:19:43.225199
/watch?v=BiC1P4yIWMc&pp=ygUHdWtyYWluZQ%3D%3D,/@JakeBroe,Jake Broe,Putin Cuts Internet in Moscow for Fear of Coup Attempt from Military,322K,1 day,Ukraine successfully destroyed a critical Russian electronics factory that made components for most of Russia's advanced military ...,2026-03-14 03:19:43.228524
/shorts/6-K9QL2IQ_g,/@EngineeredEarthOfficial,Engineered Earth,How Ukraine Is Moving Its Cities Underground #engineering #bushcraft #shorts,1.3K,13 hours,"The war in Ukraine is forcing cities to rethink how they survive. Power plants, hospitals, schools and electrical substations were all ...",2026-03-14 03:19:44.277753
/watch?v=IbNuhCYvlVk&pp=ygUHdWtyYWluZdIHCQnFCgGHKiGM7w%3D%3D,/@scrippsnews,Scripps News,How Ukraine Learned to Kill Iranian Drones — Now the Gulf Gets the Shortcut,15K,2 days,Ukraine has spent three years learning to stop Iranian Shahed drones — and now it's sending that knowledge to the Gulf. Scripps ...,2026-03-14 03:19:44.278831
/shorts/M4mvxjlncIU,/@R2Reports,R² Reports,U.S. Marine on What Ukrainian Soldiers Are Really Like,4.8M,7 months,What's it actually like fighting alongside Ukrainian soldiers on the front lines? A U.S. Marine tells us: - Most are dads and ...,2026-03-14 03:19:44.279833
/watch?v=GapkxlKowtQ&pp=ygUHdWtyYWluZQ%3D%3D,/@WesODonnellX,Wes O'Donnell,America Built the Drone Russia Warned About,171K,2 days,"The LUCAS drone, America's new low-cost attack UAV, is causing panic in Russian military Telegram channels because it may be ...",2026-03-14 03:19:44.283017
/watch?v=hr0BghE77BY&pp=ygUHdWtyYWluZQ%3D%3D,/@Kanal13AZ,Kanal13,Russian units retreat across Zaporizhzhia front; Ukrainian forces expand control,149K,1 day,Kanal13​ #likekanal13​ #subscribekanal13 #warinukraine https://www.youtube.com/user/kanal13az?sub_confirmation=1 ...,2026-03-14 03:19:45.278216
/shorts/vBW3Zm8DS9s,/@AnthonyBrianLogan,Anthony Brian Logan,Trump & JD Vance Shut Down Ukraine President Zelenskyy!,1.9K,1 hour,President Trump and JD Vance had a tense back and forth with Ukraine President Zelenskyy early in Trump's second term in ...,2026-03-14 03:19:45.281190
